assignment_id,partner_id,safehouse_id,program_area,assignment_start,assignment_end,responsibility_notes,is_primary,status
1,1,8,Operations,2022-01-01,,SafehouseOps support for safehouse operations,True,Active
2,1,9,Operations,2022-01-01,,SafehouseOps support for safehouse operations,False,Active
3,2,4,Wellbeing,2022-01-21,,Evaluation support for safehouse operations,True,Active
4,3,9,Education,2022-02-10,,Education support for safehouse operations,True,Active
5,3,6,Education,2022-02-10,,Education support for safehouse operations,False,Active
6,4,8,Transport,2022-03-02,,Logistics support for safehouse operations,True,Active
7,5,2,Operations,2022-03-22,,SafehouseOps support for safehouse operations,True,Active
8,6,,Maintenance,2022-04-11,,Maintenance support for safehouse operations,True,Active
9,7,8,Operations,2022-05-01,,FindSafehouse support for safehouse operations,True,Active
10,7,,Operations,2022-05-01,,FindSafehouse support for safehouse operations,False,Active
11,8,,Transport,2022-05-21,,Logistics support for safehouse operations,True,Active
12,9,6,Operations,2022-06-10,,SafehouseOps support for safehouse operations,True,Active
13,9,3,Operations,2022-06-10,,SafehouseOps support for safehouse operations,False,Active
14,10,,Transport,2022-06-30,,Logistics support for safehouse operations,True,Active
15,11,3,Operations,2022-07-20,,SafehouseOps support for safehouse operations,True,Active
16,11,8,Operations,2022-07-20,,SafehouseOps support for safehouse operations,False,Active
17,12,8,Operations,2022-08-09,,SafehouseOps support for safehouse operations,True,Active
18,13,1,Wellbeing,2022-08-29,,Evaluation support for safehouse operations,True,Active
19,14,2,Education,2022-09-18,,Education support for safehouse operations,True,Active
20,14,7,Education,2022-09-18,,Education support for safehouse operations,False,Active
21,15,,Transport,2022-10-08,,Transport support for safehouse operations,True,Active
22,15,2,Transport,2022-10-08,,Transport support for safehouse operations,False,Active
23,16,4,Operations,2022-10-28,,SafehouseOps support for safehouse operations,True,Active
24,16,7,Operations,2022-10-28,,SafehouseOps support for safehouse operations,False,Active
25,17,,Transport,2022-11-17,,Logistics support for safehouse operations,True,Active
26,17,1,Transport,2022-11-17,,Logistics support for safehouse operations,False,Active
27,17,9,Transport,2022-11-17,,Logistics support for safehouse operations,False,Active
28,18,2,Education,2022-12-07,,Education support for safehouse operations,True,Active
29,18,3,Education,2022-12-07,,Education support for safehouse operations,False,Active
30,19,7,Maintenance,2022-12-27,,Maintenance support for safehouse operations,True,Active
31,20,4,Education,2023-01-16,,Education support for safehouse operations,True,Active
32,20,5,Education,2023-01-16,,Education support for safehouse operations,False,Active
33,21,,Operations,2023-02-05,,SafehouseOps support for safehouse operations,True,Active
34,22,4,Wellbeing,2023-02-25,,Evaluation support for safehouse operations,True,Active
35,22,7,Wellbeing,2023-02-25,,Evaluation support for safehouse operations,False,Active
36,23,,Maintenance,2023-03-17,,Maintenance support for safehouse operations,True,Active
37,24,3,Maintenance,2023-04-06,,Maintenance support for safehouse operations,True,Active
38,25,5,Maintenance,2023-04-26,,Maintenance support for safehouse operations,True,Active
39,25,8,Maintenance,2023-04-26,,Maintenance support for safehouse operations,False,Active
40,26,9,Operations,2023-05-16,,SafehouseOps support for safehouse operations,True,Active
41,26,8,Operations,2023-05-16,,SafehouseOps support for safehouse operations,False,Active
42,26,4,Operations,2023-05-16,,SafehouseOps support for safehouse operations,False,Active
43,27,5,Wellbeing,2023-06-05,,Evaluation support for safehouse operations,True,Active
44,28,,Education,2023-06-25,2025-12-31,Education support for safehouse operations,True,Ended
45,29,1,Education,2023-07-15,2025-12-31,Education support for safehouse operations,True,Ended
46,29,3,Education,2023-07-15,2025-12-31,Education support for safehouse operations,False,Ended
47,30,,Transport,2023-08-04,2025-12-31,Logistics support for safehouse operations,True,Ended
48,30,8,Transport,2023-08-04,2025-12-31,Logistics support for safehouse operations,False,Ended
